iter	Passed	Remaining
0	136	136246
1	147	73523
2	155	51711
3	159	39810
4	163	32590
5	167	27763
6	171	24325
7	175	21759
8	179	19764
9	183	18155
10	187	16847
11	191	15752
12	195	14865
13	196	13867
14	200	13180
15	204	12571
16	208	12045
17	212	11567
18	215	11146
19	219	10767
20	223	10416
21	227	10101
22	231	9817
23	234	9550
24	238	9305
25	242	9082
26	246	8873
27	249	8678
28	253	8497
29	257	8328
30	261	8178
31	265	8025
32	269	7882
33	272	7752
34	276	7629
35	280	7509
36	284	7396
37	287	7290
38	291	7189
39	295	7091
40	299	7000
41	303	6913
42	307	6833
43	310	6754
44	314	6677
45	318	6604
46	322	6531
47	325	6465
48	329	6398
49	333	6338
50	337	6278
51	341	6218
52	344	6163
53	348	6112
54	352	6061
55	356	6010
56	360	5962
57	364	5913
58	367	5868
59	371	5825
60	375	5782
61	379	5741
62	383	5700
63	387	5661
64	390	5622
65	394	5586
66	398	5549
67	402	5513
68	406	5479
69	410	5447
70	413	5414
71	417	5384
72	421	5351
73	425	5320
74	428	5290
75	432	5261
76	436	5234
77	440	5206
78	444	5177
79	447	5151
80	451	5125
81	455	5100
82	459	5074
83	463	5050
84	467	5028
85	470	5005
86	474	4983
87	478	4959
88	482	4939
89	486	4917
90	490	4896
91	493	4874
92	497	4855
93	501	4835
94	505	4815
95	509	4796
96	513	4778
97	517	4759
98	522	4753
99	525	4733
100	529	4717
101	533	4700
102	537	4682
103	541	4665
104	542	4625
105	546	4609
106	550	4593
107	554	4577
108	557	4560
109	561	4544
110	565	4528
111	569	4512
112	573	4499
113	577	4485
114	580	4470
115	584	4455
116	588	4441
117	592	4426
118	596	4413
119	600	4400
120	603	4387
121	607	4373
122	611	4359
123	615	4347
124	619	4333
125	620	4305
126	624	4292
127	628	4278
128	631	4266
129	635	4255
130	639	4242
131	643	4230
132	646	4217
133	650	4205
134	654	4194
135	658	4182
136	662	4170
137	666	4160
138	669	4148
139	673	4138
140	677	4127
141	681	4116
142	685	4106
143	688	4095
144	692	4085
145	696	4074
146	700	4065
147	704	4055
148	708	4046
149	712	4036
150	716	4026
151	719	4016
152	723	4006
153	727	3996
154	731	3987
155	735	3977
156	739	3968
157	742	3959
158	746	3950
159	750	3940
160	754	3931
161	758	3921
162	762	3913
163	766	3905
164	770	3896
165	774	3888
166	777	3879
167	781	3871
168	785	3863
169	789	3854
170	793	3844
171	796	3835
172	800	3827
173	804	3819
174	808	3810
175	812	3801
176	812	3779
177	816	3771
178	820	3764
179	824	3757
180	828	3748
181	832	3741
182	836	3732
183	840	3725
184	843	3717
185	847	3709
186	851	3700
187	854	3692
188	858	3685
189	862	3678
190	866	3671
191	870	3664
192	874	3656
193	878	3649
194	882	3641
195	886	3634
196	889	3627
197	893	3619
198	897	3612
199	901	3605
200	905	3597
201	908	3589
202	912	3582
203	916	3575
204	920	3568
205	923	3561
206	927	3554
207	931	3547
208	935	3541
209	939	3534
210	943	3527
211	947	3522
212	951	3515
213	955	3508
214	959	3501
215	962	3494
216	966	3488
217	970	3481
218	974	3475
219	978	3470
220	982	3463
221	986	3458
222	990	3452
223	994	3446
224	998	3440
225	1002	3433
226	1006	3427
227	1010	3420
228	1014	3414
229	1018	3408
230	1021	3401
231	1025	3395
232	1029	3389
233	1033	3382
234	1037	3376
235	1041	3370
236	1045	3364
237	1048	3358
238	1052	3351
239	1056	3345
240	1060	3339
241	1064	3332
242	1067	3326
243	1071	3321
244	1075	3315
245	1079	3309
246	1083	3304
247	1087	3298
248	1091	3292
249	1095	3286
250	1099	3279
251	1102	3273
252	1106	3267
253	1110	3262
254	1114	3255
255	1118	3249
256	1121	3243
257	1125	3237
258	1129	3231
259	1133	3226
260	1137	3220
261	1141	3214
262	1145	3208
263	1148	3202
264	1152	3197
265	1156	3191
266	1160	3186
267	1164	3180
268	1168	3175
269	1172	3170
270	1176	3165
271	1180	3159
272	1184	3154
